Span-GenomeRelease	Span-Chromosome	Span-BeginBp	Span-EndBp	Span-Strand	Span-Score	Span-Name	GeneI	AbsDistanceBp	DistanceBp	Overlaps	Gene-GenomeRelease	Gene-Chromosome	Gene-BeginBp	Gene-EndBp	Gene-Strand	Gene-Score	Gene-Name	Span-Pvalue	Span-FDR	Span-ContentTag
mm9	chr14	85626558	85626731		0	chr14-85626558														
mm9	chr14	99528441	99528604		0	chr14-99528441	1	29533	-29533	no	mm9	chr14	99475852	99498989	-	1	NM_028315:Dis3			
mm9	chr14	99528441	99528604		0	chr14-99528441	2	29871	29871	yes	mm9	chr14	99498651	99579658	+	1	NM_029454:Pibf1			
mm9	chr14	99528441	99528604		0	chr14-99528441	3	29871	29871	yes	mm9	chr14	99498651	99653712	+	1	NM_029320:Pibf1			
mm9	chr14	99680683	99680903		0	chr14-99680683	1	17116	-17116	no	mm9	chr14	99697909	99712628	+	1	NM_009769:Klf5			
mm9	chr14	99763558	99763863		0	chr14-99763558	1	65801	65801	no	mm9	chr14	99697909	99712628	+	1	NM_009769:Klf5			
mm9	chr14	100011423	100011627		0	chr14-100011423														
mm9	chr14	100045579	100045813		0	chr14-100045579														
mm9	chr14	100069999	100070171		0	chr14-100069999														
mm9	chr14	100170331	100170536		0	chr14-100170331														
mm9	chr14	100251005	100251265		0	chr14-100251005														
mm9	chr14	100255043	100255257		0	chr14-100255043														
mm9	chr14	100752139	100752367		0	chr14-100752139														
mm9	chr14	101991626	101991810		0	chr14-101991626	1	16690	16690	yes	mm9	chr14	101841576	102008408	-	1	NM_001081278:Tbc1d4			
mm9	chr14	102187808	102187993		0	chr14-102187808	1	58756	58756	yes	mm9	chr14	102129144	102333910	+	1	NM_201529:Lmo7			
mm9	chr14	102204477	102204725		0	chr14-102204477	1	75457	75457	yes	mm9	chr14	102129144	102333910	+	1	NM_201529:Lmo7			
mm9	chr14	102239665	102239828		0	chr14-102239665	1	110602	110602	yes	mm9	chr14	102129144	102333910	+	1	NM_201529:Lmo7			
mm9	chr14	102247399	102247606		0	chr14-102247399	1	118358	118358	yes	mm9	chr14	102129144	102333910	+	1	NM_201529:Lmo7			
mm9	chr14	102304136	102304358		0	chr14-102304136	1	175103	175103	yes	mm9	chr14	102129144	102333910	+	1	NM_201529:Lmo7			
mm9	chr14	103498869	103499068		0	chr14-103498869	1	242	-242	no	mm9	chr14	103479455	103498726	-	1	NM_015822:Fbxl3			
mm9	chr14	104118084	104118299		0	chr14-104118084	1	19542	-19542	no	mm9	chr14	104092199	104098649	-	1	NR_045148:4921525B02Rik			
mm9	chr14	106015052	106015323		0	chr14-106015052														
mm9	chr14	106100744	106100960		0	chr14-106100744														
mm9	chr14	106131703	106131936		0	chr14-106131703														
mm9	chr14	106215002	106215196		0	chr14-106215002	1	80937	80937	no	mm9	chr14	106291163	106296036	-	1	NM_011897:Spry2			
mm9	chr14	118450414	118450647		0	chr14-118450414	1	938	938	yes	mm9	chr14	118412011	118451468	-	1	NM_010024:Dct			
mm9	chr14	119055331	119055529		0	chr14-119055331	1	20723	20723	yes	mm9	chr14	118881913	119076153	-	1	NM_001163675:Abcc4			
mm9	chr14	119055331	119055529		0	chr14-119055331	2	50011	50011	yes	mm9	chr14	118881913	119105441	-	1	NM_001163676:Abcc4			
mm9	chr14	119055331	119055529		0	chr14-119055331	3	50011	50011	yes	mm9	chr14	118881913	119105441	-	1	NM_001033336:Abcc4			
mm9	chr14	119087936	119088217		0	chr14-119087936	1	11923	-11923	no	mm9	chr14	118881913	119076153	-	1	NM_001163675:Abcc4			
mm9	chr14	119087936	119088217		0	chr14-119087936	2	17365	17365	yes	mm9	chr14	118881913	119105441	-	1	NM_001163676:Abcc4			
mm9	chr14	119087936	119088217		0	chr14-119087936	3	17365	17365	yes	mm9	chr14	118881913	119105441	-	1	NM_001033336:Abcc4			
mm9	chr14	119139007	119139197		0	chr14-119139007	1	33661	-33661	no	mm9	chr14	118881913	119105441	-	1	NM_001163676:Abcc4			
mm9	chr14	119139007	119139197		0	chr14-119139007	2	33661	-33661	no	mm9	chr14	118881913	119105441	-	1	NM_001033336:Abcc4			
mm9	chr14	119139007	119139197		0	chr14-119139007	3	47990	-47990	no	mm9	chr14	119187092	119273747	+	1	NM_023878:Cldn10			
mm9	chr14	119139007	119139197		0	chr14-119139007	4	47990	-47990	no	mm9	chr14	119187092	119273747	+	1	NM_001160098:Cldn10			
mm9	chr14	119139007	119139197		0	chr14-119139007	5	47990	-47990	no	mm9	chr14	119187092	119273747	+	1	NM_001160097:Cldn10			
mm9	chr14	119139007	119139197		0	chr14-119139007	6	47990	-47990	no	mm9	chr14	119187092	119273747	+	1	NM_001160096:Cldn10			
mm9	chr14	119148320	119148612		0	chr14-119148320	1	38626	-38626	no	mm9	chr14	119187092	119273747	+	1	NM_023878:Cldn10			
mm9	chr14	119148320	119148612		0	chr14-119148320	2	38626	-38626	no	mm9	chr14	119187092	119273747	+	1	NM_001160098:Cldn10			
mm9	chr14	119148320	119148612		0	chr14-119148320	3	38626	-38626	no	mm9	chr14	119187092	119273747	+	1	NM_001160097:Cldn10			
mm9	chr14	119148320	119148612		0	chr14-119148320	4	38626	-38626	no	mm9	chr14	119187092	119273747	+	1	NM_001160096:Cldn10			
mm9	chr14	119148320	119148612		0	chr14-119148320	5	43025	-43025	no	mm9	chr14	118881913	119105441	-	1	NM_001163676:Abcc4			
mm9	chr14	119148320	119148612		0	chr14-119148320	6	43025	-43025	no	mm9	chr14	118881913	119105441	-	1	NM_001033336:Abcc4			
mm9	chr14	119240924	119241110		0	chr14-119240924	1	13154	-13154	no	mm9	chr14	119254171	119273747	+	1	NM_001160099:Cldn10			
mm9	chr14	119240924	119241110		0	chr14-119240924	2	13154	-13154	no	mm9	chr14	119254171	119273747	+	1	NM_021386:Cldn10			
mm9	chr14	119240924	119241110		0	chr14-119240924	3	53925	53925	yes	mm9	chr14	119187092	119273747	+	1	NM_023878:Cldn10			
mm9	chr14	119240924	119241110		0	chr14-119240924	4	53925	53925	yes	mm9	chr14	119187092	119273747	+	1	NM_001160098:Cldn10			
mm9	chr14	119240924	119241110		0	chr14-119240924	5	53925	53925	yes	mm9	chr14	119187092	119273747	+	1	NM_001160097:Cldn10			
mm9	chr14	119240924	119241110		0	chr14-119240924	6	53925	53925	yes	mm9	chr14	119187092	119273747	+	1	NM_001160096:Cldn10			
mm9	chr14	120388938	120389144		0	chr14-120388938	1	52616	52616	no	mm9	chr14	120418806	120441657	-	1	NM_001001490:Oxgr1			
mm9	chr14	120675631	120675803		0	chr14-120675631	1	827	827	yes	mm9	chr14	120674890	120830920	+	1	NM_207515:Mbnl2			
mm9	chr14	120675631	120675803		0	chr14-120675631	2	827	827	yes	mm9	chr14	120674890	120830920	+	1	NM_175341:Mbnl2			
mm9	chr14	120737214	120737390		0	chr14-120737214	1	62412	62412	yes	mm9	chr14	120674890	120830920	+	1	NM_207515:Mbnl2			
mm9	chr14	120737214	120737390		0	chr14-120737214	2	62412	62412	yes	mm9	chr14	120674890	120830920	+	1	NM_175341:Mbnl2			
mm9	chr14	120841067	120841244		0	chr14-120841067	1	36527	-36527	no	mm9	chr14	120877682	120906414	+	1	NM_029519:Rap2a			
mm9	chr14	121452186	121452391		0	chr14-121452186	1	17493	17493	yes	mm9	chr14	121434795	121682948	+	1	NM_134082:Farp1			
mm9	chr14	121536422	121536601		0	chr14-121536422	1	101716	101716	yes	mm9	chr14	121434795	121682948	+	1	NM_134082:Farp1			
mm9	chr14	122179452	122179650		0	chr14-122179452	1	17405	17405	yes	mm9	chr14	121941260	122196956	-	1	NM_134074:Dock9			
mm9	chr14	122350659	122350865		0	chr14-122350659	1	13653	13653	no	mm9	chr14	122351552	122364415	-	1	NM_183031:Gpr183			
mm9	chr14	122350659	122350865		0	chr14-122350659	2	72935	72935	yes	mm9	chr14	122277827	122420257	+	1	NM_026861:Ubac2			
mm9	chr14	122431871	122432085		0	chr14-122431871	1	1917	-1917	no	mm9	chr14	122433895	122437644	+	1	NM_001037744:Timm8a2			
mm9	chr14	122480479	122480692		0	chr14-122480479	1	25611	25611	no	mm9	chr14	122497160	122506196	-	1	NR_015586:A330035P11Rik			
mm9	chr14	122480479	122480692		0	chr14-122480479	2	25718	-25718	no	mm9	chr14	122506303	122558825	+	1	NM_080556:Tm9sf2			
mm9	chr14	122481396	122481572		0	chr14-122481396	1	24712	24712	no	mm9	chr14	122497160	122506196	-	1	NR_015586:A330035P11Rik			
mm9	chr14	122481396	122481572		0	chr14-122481396	2	24819	-24819	no	mm9	chr14	122506303	122558825	+	1	NM_080556:Tm9sf2			
mm9	chr14	122587355	122587544		0	chr14-122587355	1	6534	6534	yes	mm9	chr14	122580915	122801456	+	1	NM_029556:Clybl			
mm9	chr14	122744365	122744602		0	chr14-122744365	1	163568	163568	yes	mm9	chr14	122580915	122801456	+	1	NM_029556:Clybl			
mm9	chr14	122992493	122992731		0	chr14-122992493	1	59063	59063	yes	mm9	chr14	122933549	123289166	+	1	NM_144844:Pcca			
mm9	chr15	3124320	3124499		0	chr15-3124320	1	96357	-96357	no	mm9	chr15	3220766	3230508	+	1	NM_001042613:Sepp1			
mm9	chr15	3124320	3124499		0	chr15-3124320	2	96401	-96401	no	mm9	chr15	3220810	3230508	+	1	NM_001042614:Sepp1			
mm9	chr15	3124320	3124499		0	chr15-3124320	3	96567	-96567	no	mm9	chr15	3220976	3230508	+	1	NM_009155:Sepp1			
mm9	chr15	3165284	3165467		0	chr15-3165284	1	55391	-55391	no	mm9	chr15	3220766	3230508	+	1	NM_001042613:Sepp1			
mm9	chr15	3165284	3165467		0	chr15-3165284	2	55435	-55435	no	mm9	chr15	3220810	3230508	+	1	NM_001042614:Sepp1			
mm9	chr15	3165284	3165467		0	chr15-3165284	3	55601	-55601	no	mm9	chr15	3220976	3230508	+	1	NM_009155:Sepp1			
mm9	chr15	3171372	3171549		0	chr15-3171372	1	49306	-49306	no	mm9	chr15	3220766	3230508	+	1	NM_001042613:Sepp1			
mm9	chr15	3171372	3171549		0	chr15-3171372	2	49350	-49350	no	mm9	chr15	3220810	3230508	+	1	NM_001042614:Sepp1			
mm9	chr15	3171372	3171549		0	chr15-3171372	3	49516	-49516	no	mm9	chr15	3220976	3230508	+	1	NM_009155:Sepp1			
mm9	chr15	3198004	3198494		0	chr15-3198004	1	22517	-22517	no	mm9	chr15	3220766	3230508	+	1	NM_001042613:Sepp1			
mm9	chr15	3198004	3198494		0	chr15-3198004	2	22561	-22561	no	mm9	chr15	3220810	3230508	+	1	NM_001042614:Sepp1			
mm9	chr15	3198004	3198494		0	chr15-3198004	3	22727	-22727	no	mm9	chr15	3220976	3230508	+	1	NM_009155:Sepp1			
mm9	chr15	3220790	3221050		0	chr15-3220790	1	56	-56	yes	mm9	chr15	3220976	3230508	+	1	NM_009155:Sepp1			
mm9	chr15	3220790	3221050		0	chr15-3220790	2	110	110	yes	mm9	chr15	3220810	3230508	+	1	NM_001042614:Sepp1			
mm9	chr15	3220790	3221050		0	chr15-3220790	3	154	154	yes	mm9	chr15	3220766	3230508	+	1	NM_001042613:Sepp1			
mm9	chr15	5092560	5092728		0	chr15-5092560	1	1216	-1216	no	mm9	chr15	5093860	5131899	+	1	NM_001013367:Prkaa1			
mm9	chr15	5135635	5135831		0	chr15-5135635	1	174	174	yes	mm9	chr15	5135559	5168332	+	1	NM_026213:Ttc33			
mm9	chr15	5566518	5566703		0	chr15-5566518														
mm9	chr15	6395146	6395318		0	chr15-6395146	1	100	-100	no	mm9	chr15	6395332	6448476	+	1	NM_013485:C9			
mm9	chr15	6679543	6679725		0	chr15-6679543	1	21254	21254	yes	mm9	chr15	6658380	6750400	+	1	NM_030168:Rictor			
mm9	chr15	6822413	6822585		0	chr15-6822413	1	1814	1814	yes	mm9	chr15	6763576	6824313	-	1	NM_011019:Osmr			
mm9	chr15	6965099	6965302		0	chr15-6965099														
mm9	chr15	8519788	8519976		0	chr15-8519788														
mm9	chr15	10760936	10761186		0	chr15-10760936	1	2256	2256	yes	mm9	chr15	10758805	10762468	+	1	NR_040357:Gm19276			
mm9	chr15	10764223	10764398		0	chr15-10764223	1	5505	5505	no	mm9	chr15	10758805	10762468	+	1	NR_040357:Gm19276			
mm9	chr15	12301019	12301192		0	chr15-12301019	1	49855	49855	no	mm9	chr15	12251250	12281022	+	1	NM_025673:Golph3			
mm9	chr15	12301019	12301192		0	chr15-12301019	2	221206	221206	yes	mm9	chr15	12286808	12522311	-	1	NM_001081064:Pdzd2			
mm9	chr15	25592999	25593177		0	chr15-25592999	1	40784	40784	yes	mm9	chr15	25552304	25743426	+	1	NM_019472:Myo10			
mm9	chr15	25744413	25744623		0	chr15-25744413	1	28500	-28500	no	mm9	chr15	25773018	25903442	+	1	NM_001034851:Fam134b			
mm9	chr15	25751732	25751962		0	chr15-25751732	1	21171	-21171	no	mm9	chr15	25773018	25903442	+	1	NM_001034851:Fam134b			
mm9	chr15	25801967	25802184		0	chr15-25801967	1	29057	29057	yes	mm9	chr15	25773018	25903442	+	1	NM_001034851:Fam134b			
mm9	chr15	25808930	25809098		0	chr15-25808930	1	35996	35996	yes	mm9	chr15	25773018	25903442	+	1	NM_001034851:Fam134b			
mm9	chr15	25840902	25841129		0	chr15-25840902	1	29626	-29626	no	mm9	chr15	25870641	25902099	+	1	NM_025459:Fam134b			
mm9	chr15	25840902	25841129		0	chr15-25840902	2	67997	67997	yes	mm9	chr15	25773018	25903442	+	1	NM_001034851:Fam134b			
mm9	chr15	25862581	25862786		0	chr15-25862581	1	7958	-7958	no	mm9	chr15	25870641	25902099	+	1	NM_025459:Fam134b			
mm9	chr15	25862581	25862786		0	chr15-25862581	2	89665	89665	yes	mm9	chr15	25773018	25903442	+	1	NM_001034851:Fam134b			
mm9	chr15	27419530	27419725		0	chr15-27419530	1	23196	23196	yes	mm9	chr15	27396431	27524662	+	1	NM_020332:Ank			
mm9	chr15	27459683	27459881		0	chr15-27459683	1	63351	63351	yes	mm9	chr15	27396431	27524662	+	1	NM_020332:Ank			
mm9	chr15	28414267	28414439		0	chr15-28414267														
mm9	chr15	31499567	31499756		0	chr15-31499567	1	995	995	yes	mm9	chr15	31498666	31519874	+	1	NM_181588:Cmbl			
mm9	chr15	32156142	32156314		0	chr15-32156142	1	15459	15459	no	mm9	chr15	32171599	32171687	-	1	NR_028575:Snord123			
mm9	chr15	32156142	32156314		0	chr15-32156142	2	18189	18189	no	mm9	chr15	32170322	32174417	-	1	NR_038186:0610007N19Rik			
mm9	chr15	32156142	32156314		0	chr15-32156142	3	18339	-18339	no	mm9	chr15	32174567	32626096	+	1	NM_009154:Sema5a			
mm9	chr15	33903301	33903520		0	chr15-33903301														
mm9	chr15	34941215	34941457		0	chr15-34941215	1	144225	144225	yes	mm9	chr15	34805253	35085561	-	1	NM_019635:Stk3			
mm9	chr15	35059135	35059326		0	chr15-35059135	1	26331	26331	yes	mm9	chr15	34805253	35085561	-	1	NM_019635:Stk3			
mm9	chr15	35584405	35584617		0	chr15-35584405	1	6162	6162	no	mm9	chr15	35590585	35590673	-	1	NR_035527:Mir599			
mm9	chr15	35584405	35584617		0	chr15-35584405	2	6291	6291	no	mm9	chr15	35590724	35590802	-	1	NR_030606:Mir875			
mm9	chr15	35584405	35584617		0	chr15-35584405	3	283211	283211	yes	mm9	chr15	35301300	35860984	+	1	NM_177151:Vps13b			
mm9	chr15	35592827	35593137		0	chr15-35592827	1	2180	-2180	no	mm9	chr15	35590724	35590802	-	1	NR_030606:Mir875			
mm9	chr15	35592827	35593137		0	chr15-35592827	2	2309	-2309	no	mm9	chr15	35590585	35590673	-	1	NR_035527:Mir599			
mm9	chr15	35592827	35593137		0	chr15-35592827	3	291682	291682	yes	mm9	chr15	35301300	35860984	+	1	NM_177151:Vps13b			
mm9	chr15	35593690	35593956		0	chr15-35593690	1	3021	-3021	no	mm9	chr15	35590724	35590802	-	1	NR_030606:Mir875			
mm9	chr15	35593690	35593956		0	chr15-35593690	2	3150	-3150	no	mm9	chr15	35590585	35590673	-	1	NR_035527:Mir599			
mm9	chr15	35593690	35593956		0	chr15-35593690	3	292523	292523	yes	mm9	chr15	35301300	35860984	+	1	NM_177151:Vps13b			
mm9	chr15	36263170	36263331		0	chr15-36263170	1	50348	-50348	no	mm9	chr15	36169688	36212902	-	1	NM_013923:Rnf19a			
mm9	chr15	36326083	36326282		0	chr15-36326083														
mm9	chr15	36570546	36570812		0	chr15-36570546	1	31951	-31951	no	mm9	chr15	36525412	36538728	-	1	NM_008774:Pabpc1			
mm9	chr15	36828558	36828821		0	chr15-36828558														
mm9	chr15	36844510	36844772		0	chr15-36844510	1	92516	92516	no	mm9	chr15	36926781	36937157	-	1	NM_026521:Zfp706			
mm9	chr15	36862936	36863164		0	chr15-36862936	1	74107	74107	no	mm9	chr15	36926781	36937157	-	1	NM_026521:Zfp706			
mm9	chr15	37050361	37050593		0	chr15-37050361														
mm9	chr15	37065407	37065639		0	chr15-37065407	1	97267	-97267	no	mm9	chr15	37162790	37293323	+	1	NM_026496:Grhl2			
mm9	chr15	37247900	37248073		0	chr15-37247900	1	85196	85196	yes	mm9	chr15	37162790	37293323	+	1	NM_026496:Grhl2			
mm9	chr15	37360199	37360401		0	chr15-37360199	1	2119	2119	yes	mm9	chr15	37350887	37362419	-	1	NR_045283:Gm15941			
mm9	chr15	37360199	37360401		0	chr15-37360199	2	4992	4992	yes	mm9	chr15	37355308	37370399	+	1	NM_029113:4930447A16Rik			
mm9	chr15	37360199	37360401		0	chr15-37360199	3	28837	28837	yes	mm9	chr15	37295929	37389137	-	1	NM_001170868:Ncald			
mm9	chr15	37360199	37360401		0	chr15-37360199	4	28837	28837	yes	mm9	chr15	37295929	37389137	-	1	NM_001170867:Ncald			
mm9	chr15	37360199	37360401		0	chr15-37360199	5	361455	361455	yes	mm9	chr15	37295929	37721755	-	1	NM_001170866:Ncald			
mm9	chr15	37360199	37360401		0	chr15-37360199	6	361883	361883	yes	mm9	chr15	37295929	37722183	-	1	NM_134094:Ncald			
mm9	chr15	38201287	38201496		0	chr15-38201287	1	29071	29071	no	mm9	chr15	38224167	38230462	-	1	NM_013692:Klf10			
mm9	chr15	38201700	38201921		0	chr15-38201700	1	28652	28652	no	mm9	chr15	38224167	38230462	-	1	NM_013692:Klf10			
mm9	chr15	38387033	38387294		0	chr15-38387033	1	61858	61858	no	mm9	chr15	38417184	38449021	-	1	NM_018745:Azin1			
mm9	chr15	38387033	38387294		0	chr15-38387033	2	61858	61858	no	mm9	chr15	38417184	38449021	-	1	NM_001102458:Azin1			
mm9	chr15	39692812	39693021		0	chr15-39692812	1	3900	-3900	no	mm9	chr15	39600030	39689016	-	1	NM_022722:Dpys			
mm9	chr15	39692812	39693021		0	chr15-39692812	2	3900	-3900	no	mm9	chr15	39614242	39689016	-	1	NM_001164466:Dpys			
mm9	chr15	40870286	40870479		0	chr15-40870286	1	383795	383795	yes	mm9	chr15	40486587	40936138	+	1	NM_011766:Zfpm2			
mm9	chr15	41482847	41483025		0	chr15-41482847	1	203909	203909	yes	mm9	chr15	41279027	41692593	+	1	NM_001130166:Oxr1			
mm9	chr15	41661301	41661553		0	chr15-41661301	1	1076	-1076	no	mm9	chr15	41662503	41692593	+	1	NM_001130164:Oxr1			
mm9	chr15	41661301	41661553		0	chr15-41661301	2	40367	40367	yes	mm9	chr15	41621060	41692593	+	1	NM_001130163:Oxr1			
mm9	chr15	41661301	41661553		0	chr15-41661301	3	40367	40367	yes	mm9	chr15	41621060	41692593	+	1	NM_130885:Oxr1			
mm9	chr15	41661301	41661553		0	chr15-41661301	4	40848	40848	yes	mm9	chr15	41620579	41692593	+	1	NM_001130165:Oxr1			
mm9	chr15	41661301	41661553		0	chr15-41661301	5	382400	382400	yes	mm9	chr15	41279027	41692593	+	1	NM_001130166:Oxr1			
mm9	chr15	42670490	42670653		0	chr15-42670490														
mm9	chr15	44033882	44034127		0	chr15-44033882	1	6324	6324	yes	mm9	chr15	44027680	44067458	+	1	NM_013696:Trhr			
mm9	chr15	44234558	44234784		0	chr15-44234558	1	24985	-24985	no	mm9	chr15	44259656	44269231	+	1	NM_175009:Eny2			
mm9	chr15	44234558	44234784		0	chr15-44234558	2	25182	25182	yes	mm9	chr15	44206772	44259853	-	1	NM_001113554:Nudcd1			
mm9	chr15	44234558	44234784		0	chr15-44234558	3	25182	25182	yes	mm9	chr15	44206772	44259853	-	1	NM_026149:Nudcd1			
mm9	chr15	46455173	46455351		0	chr15-46455173														
mm9	chr15	53039066	53039267		0	chr15-53039066	1	138572	138572	yes	mm9	chr15	52899817	53177738	-	1	NM_010162:Ext1			
mm9	chr15	53157653	53157863		0	chr15-53157653	1	19980	19980	yes	mm9	chr15	52899817	53177738	-	1	NM_010162:Ext1			
mm9	chr15	53449672	53449903		0	chr15-53449672	1	284204	284204	yes	mm9	chr15	53293355	53733991	-	1	NM_177225:Samd12			
mm9	chr15	54217893	54218065		0	chr15-54217893	1	24349	-24349	no	mm9	chr15	54242328	54297913	+	1	NM_173422:Colec10			
mm9	chr15	54352983	54353187		0	chr15-54352983	1	49835	-49835	no	mm9	chr15	54402920	54434401	+	1	NM_178920:Mal2			
mm9	chr15	54642404	54642644		0	chr15-54642404	1	65042	65042	no	mm9	chr15	54577482	54585316	+	1	NM_010930:Nov			
mm9	chr15	54874559	54874718		0	chr15-54874559	1	29069	29069	yes	mm9	chr15	54846683	54903707	-	1	NM_001081288:Taf2			
mm9	chr15	54929421	54929634		0	chr15-54929421	1	7494	-7494	no	mm9	chr15	54907655	54922033	-	1	NM_183089:Dscc1			
mm9	chr15	54964809	54965040		0	chr15-54964809	1	66	-66	yes	mm9	chr15	54964990	55085757	+	1	NM_001037937:Deptor			
mm9	chr15	54964809	54965040		0	chr15-54964809	2	20887	20887	yes	mm9	chr15	54944037	55084335	+	1	NM_145470:Deptor			
mm9	chr15	54970754	54970929		0	chr15-54970754	1	5851	5851	yes	mm9	chr15	54964990	55085757	+	1	NM_001037937:Deptor			
mm9	chr15	54970754	54970929		0	chr15-54970754	2	26804	26804	yes	mm9	chr15	54944037	55084335	+	1	NM_145470:Deptor			
mm9	chr15	55077255	55077473		0	chr15-55077255	1	61940	-61940	no	mm9	chr15	55139304	55352358	+	1	NM_181277:Col14a1			
mm9	chr15	55077255	55077473		0	chr15-55077255	2	112374	112374	yes	mm9	chr15	54964990	55085757	+	1	NM_001037937:Deptor			
mm9	chr15	55077255	55077473		0	chr15-55077255	3	133327	133327	yes	mm9	chr15	54944037	55084335	+	1	NM_145470:Deptor			
mm9	chr15	55097701	55097999		0	chr15-55097701	1	41454	-41454	no	mm9	chr15	55139304	55352358	+	1	NM_181277:Col14a1			
mm9	chr15	58068512	58068668		0	chr15-58068512	1	22143	-22143	no	mm9	chr15	58007433	58046447	-	1	NM_026346:Fbxo32			
mm9	chr15	58339261	58339472		0	chr15-58339261	1	92344	92344	no	mm9	chr15	58247022	58289356	+	1	NM_145959:D15Ertd621e			
mm9	chr15	58349135	58349317		0	chr15-58349135														
mm9	chr15	58430578	58430795		0	chr15-58430578														
mm9	chr15	58879274	58879468		0	chr15-58879274	1	34210	34210	yes	mm9	chr15	58772788	58913581	-	1	NM_144800:Mtss1			
mm9	chr15	58879274	58879468		0	chr15-58879274	2	34210	34210	yes	mm9	chr15	58772788	58913581	-	1	NM_001146180:Mtss1			
mm9	chr15	59243761	59243961		0	chr15-59243761	1	38109	38109	yes	mm9	chr15	59205752	59371221	+	1	NM_001164604:Nsmce2			
mm9	chr15	59243761	59243961		0	chr15-59243761	2	38109	38109	yes	mm9	chr15	59205752	59433239	+	1	NM_026746:Nsmce2			
mm9	chr15	59243761	59243961		0	chr15-59243761	3	38154	-38154	no	mm9	chr15	59163551	59205707	-	1	NM_153548:E430025E21Rik			
mm9	chr15	59355681	59355853		0	chr15-59355681	1	150015	150015	yes	mm9	chr15	59205752	59371221	+	1	NM_001164604:Nsmce2			
mm9	chr15	59355681	59355853		0	chr15-59355681	2	150015	150015	yes	mm9	chr15	59205752	59433239	+	1	NM_026746:Nsmce2			
mm9	chr15	59369529	59369763		0	chr15-59369529	1	163894	163894	yes	mm9	chr15	59205752	59371221	+	1	NM_001164604:Nsmce2			
mm9	chr15	59369529	59369763		0	chr15-59369529	2	163894	163894	yes	mm9	chr15	59205752	59433239	+	1	NM_026746:Nsmce2			
mm9	chr15	59416835	59417020		0	chr15-59416835	1	63281	-63281	no	mm9	chr15	59480208	59488654	+	1	NM_144549:Trib1			
mm9	chr15	59416835	59417020		0	chr15-59416835	2	211175	211175	yes	mm9	chr15	59205752	59433239	+	1	NM_026746:Nsmce2			
mm9	chr15	59480029	59480235		0	chr15-59480029	1	76	-76	yes	mm9	chr15	59480208	59488654	+	1	NM_144549:Trib1			
mm9	chr15	59491828	59492022		0	chr15-59491828	1	11717	11717	no	mm9	chr15	59480208	59488654	+	1	NM_144549:Trib1			
mm9	chr15	59496995	59497191		0	chr15-59496995	1	16885	16885	no	mm9	chr15	59480208	59488654	+	1	NM_144549:Trib1			
mm9	chr15	61278006	61278219		0	chr15-61278006														
mm9	chr15	61281943	61282205		0	chr15-61281943														
mm9	chr15	61450480	61450689		0	chr15-61450480														
mm9	chr15	61631688	61631901		0	chr15-61631688	1	25788	-25788	no	mm9	chr15	61530838	61606006	-	1	NR_040350:D030024E09Rik			
mm9	chr15	61704985	61705165		0	chr15-61704985	1	99069	-99069	no	mm9	chr15	61530838	61606006	-	1	NR_040350:D030024E09Rik			
mm9	chr15	63002676	63002890		0	chr15-63002676														
mm9	chr15	64064588	64064804		0	chr15-64064588	1	149785	149785	yes	mm9	chr15	63920100	64214481	-	1	NM_010026:Asap1			
mm9	chr15	66392505	66392706		0	chr15-66392505	1	3	3	yes	mm9	chr15	66357773	66392608	-	1	NM_172514:Tmem71			
mm9	chr15	66767105	66767305		0	chr15-66767105	1	33998	33998	yes	mm9	chr15	66760879	66801203	-	1	NM_008681:Ndrg1			
mm9	chr15	66767105	66767305		0	chr15-66767105	2	44251	44251	no	mm9	chr15	66722954	66754761	+	1	NM_018865:Wisp1			
mm9	chr15	66809070	66809245		0	chr15-66809070	1	7954	-7954	no	mm9	chr15	66760879	66801203	-	1	NM_008681:Ndrg1			
mm9	chr15	66908120	66908275		0	chr15-66908120														
mm9	chr15	66934028	66934233		0	chr15-66934028	1	74314	74314	no	mm9	chr15	66934436	67008444	-	1	NM_009177:St3gal1			
mm9	chr15	68802820	68803057		0	chr15-68802820	1	44089	44089	yes	mm9	chr15	68758849	68923948	+	1	NM_010158:Khdrbs3			
mm9	chr15	72663598	72663822		0	chr15-72663598	1	22956	-22956	no	mm9	chr15	72636029	72640754	-	1	NR_002864:Peg13			
mm9	chr15	72663598	72663822		0	chr15-72663598	2	222532	222532	yes	mm9	chr15	72420049	72886242	-	1	NM_029640:Trappc9			
mm9	chr15	72663598	72663822		0	chr15-72663598	3	227924	227924	yes	mm9	chr15	72420049	72891634	-	1	NM_180662:Trappc9			
mm9	chr15	72663598	72663822		0	chr15-72663598	4	227924	227924	yes	mm9	chr15	72629953	72891634	-	1	NM_001164641:Trappc9			
mm9	chr15	73401536	73401767		0	chr15-73401536	1	25305	25305	no	mm9	chr15	73410720	73426956	-	1	NM_001168255:Slc45a4			
mm9	chr15	73401536	73401767		0	chr15-73401536	2	58662	58662	yes	mm9	chr15	73342989	73402672	+	1	NM_001081066:Dennd3			
mm9	chr15	73448507	73448684		0	chr15-73448507	1	6579	6579	yes	mm9	chr15	73410720	73455174	-	1	NM_001033219:Slc45a4			
mm9	chr15	73534765	73535008		0	chr15-73534765	1	3049	3049	yes	mm9	chr15	73525036	73537935	-	1	NM_173365:Gpr20			
